"","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime","param"
"471","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-84-CLC-Aug 18-nitrogen","Sample-Routine","Water",NA,2018-08-03,"11:25:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-CLC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.071","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-08-03,NA,NA,NA,NA,NA,"STORET",2018-08-03 17:25:00,NA,"Nitrogen Total ppm"
"472","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-15 CLC-May-22-Nitrogen","Sample-Routine","Water",NA,2018-05-22,"14:45:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17-1200",NA,"ASUERF-CLC",NA,NA,NA,NA,NA,NA,NA,"Bucket",NA,"Nitrogen","Total","0.884","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-05-22,NA,NA,NA,NA,NA,"STORET",2018-05-22 20:45:00,NA,"Nitrogen Total ppm"
"473","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-LRD2 Jul 6 2016 TotalN","Sample-Routine","Water",NA,2016-07-06,"12:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-020",NA,"ASUERF-LRD2",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.756","mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2016-07-06,NA,NA,NA,NA,NA,"STORET",2016-07-06 18:00:00,NA,"Nitrogen Total mg/l"
"474","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-80-CLC-Jul18-nitrogen","Sample-Routine","Water",NA,2018-07-06,"09:55:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-CLC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.167","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-07-06,NA,NA,NA,NA,NA,"STORET",2018-07-06 15:55:00,NA,"Nitrogen Total ppm"
"475","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-52- RC- Nov 17- nitrogen","Sample-Routine","Water",NA,2017-11-02,"11:56:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-RC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.703","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2017-11-02,NA,NA,NA,NA,NA,"STORET",2017-11-02 17:56:00,NA,"Nitrogen Total ppm"
"476","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-LRD1 Apr 24 2015 TotalN","Sample-Routine","Water",NA,2015-04-24,"12:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-020",NA,"ASUERF-LRD1",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.862","mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2015-04-24,NA,NA,NA,NA,NA,"STORET",2015-04-24 18:00:00,NA,"Nitrogen Total mg/l"
"477","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-43-MCSBSC-Aug 17-nitrogen","Sample-Routine","Water",NA,2017-08-08,"12:07:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-MCSBSC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.404","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2017-08-08,NA,NA,NA,NA,NA,"STORET",2017-08-08 18:07:00,NA,"Nitrogen Total ppm"
"478","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-87-CLC-Aug 18-nitrogen","Sample-Routine","Water",NA,2018-08-24,"11:45:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-CLC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.021","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-08-24,NA,NA,NA,NA,NA,"STORET",2018-08-24 17:45:00,NA,"Nitrogen Total ppm"
"479","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-13 RC-Jan 16-Nitrogen","Sample-Routine","Water",NA,2017-01-13,"13:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-RC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","3.242","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2017-01-13,NA,NA,NA,NA,NA,"STORET",2017-01-13 19:00:00,NA,"Nitrogen Total ppm"
"480","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-LRD1 March 19 2018 TotalN","Sample-Routine","Water",NA,2018-03-19,"12:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-020",NA,"ASUERF-LRD1",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.161","mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-03-19,NA,NA,NA,NA,NA,"STORET",2018-03-19 18:00:00,NA,"Nitrogen Total mg/l"
"481","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-61-SLBC-Jan 18-nitrogen","Sample-Routine","Water",NA,2018-01-17,"12:49:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-SLBC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","1.115","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-01-17,NA,NA,NA,NA,NA,"STORET",2018-01-17 18:49:00,NA,"Nitrogen Total ppm"
"482","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-57-RC- Dec 17- nitrogen","Sample-Routine","Water",NA,2017-12-07,"11:55:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-RC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.736","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2017-12-07,NA,NA,NA,NA,NA,"STORET",2017-12-07 17:55:00,NA,"Nitrogen Total ppm"
"483","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-131-CC-Jul 19-nitrogen","Sample-Routine","Water",NA,2019-07-13,"14:47:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-CC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.377","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2019-07-13,NA,NA,NA,NA,NA,"STORET",2019-07-13 20:47:00,NA,"Nitrogen Total ppm"
"484","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-150-NBC-Sep 19-nitrogen","Sample-Routine","Water",NA,2019-09-11,"12:32:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-NBC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.074","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2019-09-11,NA,NA,NA,NA,NA,"STORET",2019-09-11 18:32:00,NA,"Nitrogen Total ppm"
"485","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-96-PFMC-Oct 18-nitrogen","Sample-Routine","Water",NA,2018-10-10,"08:35:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-PFMC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.527","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-10-10,NA,NA,NA,NA,NA,"STORET",2018-10-10 14:35:00,NA,"Nitrogen Total ppm"
"486","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-79-CLC-Jun 18-nitrogen","Sample-Routine","Water",NA,2018-06-28,"10:51:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-CLC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.201","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-06-28,NA,NA,NA,NA,NA,"STORET",2018-06-28 16:51:00,NA,"Nitrogen Total ppm"
"487","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-56-PFMC- Nov 17- nitrogeno","Sample-Routine","Water",NA,2017-11-30,"09:40:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-PFMC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","1.233","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2017-11-30,NA,NA,NA,NA,NA,"STORET",2017-11-30 15:40:00,NA,"Nitrogen Total ppm"
"488","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-21 SLBC-Mar 17-nitrogen","Sample-Routine","Water",NA,2017-03-10,"13:35:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-SLBC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.856","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2017-03-10,NA,NA,NA,NA,NA,"STORET",2017-03-10 19:35:00,NA,"Nitrogen Total ppm"
"489","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-7 CC-Nov 16-Nitrogen","Sample-Routine","Water",NA,2016-11-21,"13:35:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-CC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.312","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2016-11-21,NA,NA,NA,NA,NA,"STORET",2016-11-21 19:35:00,NA,"Nitrogen Total ppm"
"490","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-67-ECC-Mar 18-nitrogen","Sample-Routine","Water",NA,2018-03-06,"11:26:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-ECC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.386","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-03-06,NA,NA,NA,NA,NA,"STORET",2018-03-06 17:26:00,NA,"Nitrogen Total ppm"
"491","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-95-SLBC-Sep 18-nitrogen","Sample-Routine","Water",NA,2018-09-24,"10:12:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-SLBC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.587","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-09-24,NA,NA,NA,NA,NA,"STORET",2018-09-24 16:12:00,NA,"Nitrogen Total ppm"
"492","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-21 CLC-Aug-17-Nitrogen","Sample-Routine","Water",NA,2018-08-17,"15:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17-1200",NA,"ASUERF-CLC",NA,NA,NA,NA,NA,NA,NA,"Bucket",NA,"Nitrogen","Total","0.548","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-08-17,NA,NA,NA,NA,NA,"STORET",2018-08-17 21:00:00,NA,"Nitrogen Total ppm"
"493","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-LRD4 Nov 30 2015 TotalN","Sample-Routine","Water",NA,2015-11-30,"12:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-020",NA,"ASUERF-LRD4",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.438","mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2015-11-30,NA,NA,NA,NA,NA,"STORET",2015-11-30 18:00:00,NA,"Nitrogen Total mg/l"
"494","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-LRD2 Jan 21 2016 TotalN","Sample-Routine","Water",NA,2016-01-21,"12:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-020",NA,"ASUERF-LRD2",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.354","mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2016-01-21,NA,NA,NA,NA,NA,"STORET",2016-01-21 18:00:00,NA,"Nitrogen Total mg/l"
"495","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-58- MCSBSC- Dec 17-nitrogen","Sample-Routine","Water",NA,2017-12-12,"11:30:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-MCSBSC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.321","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2017-12-12,NA,NA,NA,NA,NA,"STORET",2017-12-12 17:30:00,NA,"Nitrogen Total ppm"
"496","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-64-NBC-Feb 18-nitrogen","Sample-Routine","Water",NA,2018-02-09,"11:24:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-NBC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.517","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-02-09,NA,NA,NA,NA,NA,"STORET",2018-02-09 17:24:00,NA,"Nitrogen Total ppm"
"497","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-71-SLBC-Apr 18-nitrogen","Sample-Routine","Water",NA,2018-04-13,"13:06:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-SLBC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.467","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-04-13,NA,NA,NA,NA,NA,"STORET",2018-04-13 19:06:00,NA,"Nitrogen Total ppm"
"498","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-2 PFMC-Oct 16-Nitrogen","Sample-Routine","Water",NA,2016-10-21,"09:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-PFMC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.552","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2016-10-21,NA,NA,NA,NA,NA,"STORET",2016-10-21 15:00:00,NA,"Nitrogen Total ppm"
"499","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-143-MCSBSC-Aug 19-nitrogen","Sample-Routine","Water",NA,2019-08-28,"19:38:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-MCSBSC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.364","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2019-08-28,NA,NA,NA,NA,NA,"STORET",2019-08-29 01:38:00,NA,"Nitrogen Total ppm"
"500","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-30 NBC-May 17-nitorgen","Sample-Routine","Water",NA,2017-05-12,"10:40:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-NBC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.538","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2017-05-12,NA,NA,NA,NA,NA,"STORET",2017-05-12 16:40:00,NA,"Nitrogen Total ppm"
"501","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-LRD4 Apr 1 2015 TotalN","Sample-Routine","Water",NA,2015-04-01,"12:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-020",NA,"ASUERF-LRD4",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.788","mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2015-04-01,NA,NA,NA,NA,NA,"STORET",2015-04-01 18:00:00,NA,"Nitrogen Total mg/l"
"502","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-LRD2 Feb 16 2018 TotalN","Sample-Routine","Water",NA,2018-02-16,"12:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15-020",NA,"ASUERF-LRD2",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.591","mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-02-16,NA,NA,NA,NA,NA,"STORET",2018-02-16 18:00:00,NA,"Nitrogen Total mg/l"
"503","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-74-PFMC-May 18-nitrogen","Sample-Routine","Water",NA,2018-05-01,"11:16:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-PFMC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","-0.05","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-05-01,NA,NA,NA,NA,NA,"STORET",2018-05-01 17:16:00,NA,"Nitrogen Total ppm"
"504","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-28 MCSBSC-Apr 17-nitrogen","Sample-Routine","Water",NA,2017-04-11,"12:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-MCSBSC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.555","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2017-04-11,NA,NA,NA,NA,NA,"STORET",2017-04-11 18:00:00,NA,"Nitrogen Total ppm"
"505","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-65-NBC-Feb 18-nitrogen","Sample-Routine","Water",NA,2018-02-14,"11:20:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-NBC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","0.164","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2018-02-14,NA,NA,NA,NA,NA,"STORET",2018-02-14 17:20:00,NA,"Nitrogen Total ppm"
"506","ASUERF","Arkansas State University Ecotoxicology Research Facility","ASUERF-109-PFMC-Jan 19-nitrogen","Sample-Routine","Water",NA,2019-01-29,"12:32:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16-255",NA,"ASUERF-PFMC",NA,NA,NA,NA,"Total Nitrogen","ASUERF","DA-3500 Discrete Analyzer","Bucket",NA,"Nitrogen","Total","1.136","ppm",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4500-N-C","APHA","4500 N C ~ Persufate Method for Total Nitrogen",NA,NA,2019-01-29,NA,NA,NA,NA,NA,"STORET",2019-01-29 18:32:00,NA,"Nitrogen Total ppm"
